LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM
2,259,202,10,2,6,1,BA310,1,BS316,100,100,100,99,98,97,96,94,93,71,28,12.69999981,8,4.599999905,,7
1,260,207,10,1,1,2,B10,1,BS04,100,100,100,100,100,100,99,99,98,78,41,32,18.60000038,10.19999981,,2
1,5004,5004,10,1,1,1,BX02,1,BSX02,95,94,86,81,77,72,68,61,53,20,7,5,4.5,1.700000048,1.700000048,47
1,108,112,12,1,1,2,B3,1,BS03,100,96.90000153,96.90000153,94.80000305,93.09999847,89,86.30000305,76.80000305,65.80000305,47.79999924,36.09999847,14.39999962,8.800000191,4.599999905,,34.20000076
1,112,112,12,1,1,2,B3,1,BS03,100,96.90000153,96.90000153,94.80000305,93.09999847,89,86.30000305,76.80000305,65.80000305,47.79999924,36.09999847,14.39999962,8.800000191,4.599999905,,34.20000076
1,503,508,12,1,3,2,BA303,2,BS303,100,100,100,100,100,100,100,100,99,70,7,0.800000012,0.699999988,0.600000024,,1
1,504,563,12,1,1,2,TP3,1,BS57,100,100,100,100,100,100,100,100,100,67,17.20000076,0.300000012,,,,0
1,504,565,12,1,3,1,BA501,2,BS304,100,100,100,100,100,100,100,99,99,79,21,1.200000048,1.200000048,1.200000048,,1
1,505,506,12,1,3,2,BAX02,2,BSX02,100,100,100,100,100,99,99,99,99,77,24,0.5,0.5,0.5,,1
1,506,1030,12,1,1,1,BA*,1,BS**,100,100,100,100,100,100,100,100,100,71,17,1.100000024,1,0.699999988,0,0
1,508,503,12,1,3,1,BAX01,2,BSX01,100,100,100,100,100,100,100,100,99,85,5,0.300000012,0.300000012,0.200000003,,1
1,508,508,12,1,3,2,BA303,2,BS303,100,100,100,100,100,100,100,100,99,70,7,0.800000012,0.699999988,0.600000024,,1
1,562,506,12,1,3,2,BAX02,2,BSX02,100,100,100,100,100,99,99,99,99,77,24,0.5,0.5,0.5,,1
1,563,508,12,1,3,2,BA303,2,BS303,100,100,100,100,100,100,100,100,99,70,7,0.800000012,0.699999988,0.600000024,,1
