LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,TEST_NO,FIELD_SET,LOC_NO,SAMPLE_NO,MR_MATL_TYPE,MAX_DRY_DENSITY,COMP_MOIST_CONT,COMP_DRY_DENSITY,CONSTRUCTION_NO
116,1,122,40,1,2,1,B4,BS04,2,1882.099976,11.69999981,1804.599976,1
119,1,123,40,1,2,1,B6,BS06,2,1882.099976,11.80000019,1811.400024,1
120,1,117,40,1,2,1,B3,BS03,2,1746,14.5,1665.300049,1
120,1,122,40,1,2,1,B4,BS04,2,1882.099976,11.69999981,1804.599976,1
122,1,123,40,1,2,1,B6,BS06,2,1882.099976,11.80000019,1811.400024,1
123,1,116,40,1,2,1,B2,BS02,2,1762,14.60000038,1690.099976,1
124,1,122,40,1,2,1,B4,BS04,2,1882.099976,11.69999981,1804.599976,1
160,3,114,40,3,2,2,B7,BG01,1,2210.5,7,2133,1
160,3,120,40,3,2,2,B9,BG03,1,2194.5,6.800000191,2134.100098,1
501,1,502,40,1,1,1,BA3,BS03,2,1826.099976,13.89999962,1737.900024,1
502,1,502,40,1,1,1,BA1,BS01,2,1826.099976,12.5,1738.699951,1
506,1,504,40,1,1,1,BA6,BS06,2,1810.099976,14.10000038,1719,1
506,1,504,40,1,1,1,BA4,BS04,2,1810.099976,14.19999981,1711.400024,1
4158,1,4158,40,1,1,1,BA*,BS**,2,,12.39999962,1694.800049,1
B441,1,7455,6,1,1,1,BA1,BS01,2,1794,13.19999981,1747.599976,1
B442,1,7455,6,1,1,1,BA1,BS01,2,1794,13.19999981,1747.599976,1
B452,1,7455,6,1,1,1,BA1,BS01,2,1794,13.19999981,1747.599976,1
214,1,214,8,1,2,1,B2,BS02,2,1906.199951,10.39999962,1776.699951,1
216,2,223,8,2,1,5,BAX06,BGX06,1,2205.699951,4.599999905,2071.899902,1
3739,1,3739,48,1,1,1,BA*,BS**,2,,10.30000019,1568.199951,1
3855,1,3855,48,1,2,1,BA*,BS**,2,,11.30000019,1840.5,1
5284,1,5284,48,1,1,1,BA*,BS**,2,,14.10000038,1776.400024,1
6079,2,6079,48,2,1,1,BA*,BG**,1,,8,2035.900024,1
6179,2,6179,48,2,1,1,BA*,BG**,2,,10.10000038,1879,1
6179,3,6179,48,3,1,1,BA*,BG**,1,,10.80000019,1858.099976,1
A310,1,1094,48,1,1,1,BA*,BS**,2,,14,1773.199951,1
A310,2,1094,48,2,2,1,TP1,BG55,1,,5.099999905,2035.900024,1
A340,2,1094,48,2,1,1,BA*,BG**,1,,5.800000191,2087.199951,1
C430,2,3589,48,2,1,1,BA*,BG**,2,,8.800000191,1971.900024,1
D320,2,2172,48,2,2,1,TP1,BG55,1,,13.80000019,1890.199951,1
J310,2,1122,48,2,2,1,TP1,BG56,2,,10.5,1822.900024,1
J310,3,1122,48,3,1,1,BA*,BG**,2,,5.900000095,2076,1
J351,2,1122,48,2,1,1,BA*,BG**,2,,10.89999962,1845.300049,1
L340,1,3769,48,1,1,1,BA*,BS**,2,,11.30000019,1840.5,1
1608,1,1608,42,1,1,1,BA1,BS01,2,,12.39999962,1819.699951,1
1613,2,1613,42,2,1,1,BA1,BG01,2,,6.199999809,2157.699951,1
1614,2,1614,42,2,1,1,BA*,BG**,2,,7.800000191,1931.800049,2
9027,1,9027,42,1,1,1,BA1,BS01,2,,9.300000191,1917.400024,1
B310,1,3075,47,1,1,1,BA*,BS**,2,,12.10000038,1882.199951,1
B310,2,3075,47,2,2,1,TP1,BG55,1,,4.599999905,2218.600098,1
113,1,164,48,1,2,1,B6,BS06,2,1694.699951,12.10000038,1616.400024,1
114,2,121,48,2,1,6,BAX02,BGX02,1,1970.300049,12,1816.800049,2
115,1,113,48,1,2,1,B7,BS07,2,1697.900024,13.30000019,1614.800049,1
115,1,116,48,1,2,1,B10,BS10,2,1712.300049,14.5,1625.400024,1
116,1,162,48,1,2,1,B2,BS02,2,1694.699951,14.5,1606.699951,1
116,2,114,48,2,1,6,BAX01,BGX01,2,1954.300049,10.80000019,1859.199951,2
117,1,113,48,1,2,1,B7,BS07,2,1697.900024,13.30000019,1614.800049,1
117,2,120,48,2,1,6,BAX03,BGX03,1,1874.199951,14.10000038,1735.5,3
117,3,120,48,3,1,6,BAX06,BGX06,1,2226.600098,5.5,2152.5,3
118,3,114,48,3,1,6,BAX04,BGX04,1,2242.600098,6.099999905,2113.100098,2
119,1,117,48,1,2,1,B8,BS08,2,1729.900024,13.39999962,1643,1
120,1,162,48,1,2,1,B2,BS02,2,1694.699951,14.5,1606.699951,1
120,3,119,48,3,2,1,B14,BG14,1,2298.600098,5,2125.899902,1
121,1,116,48,1,2,1,B10,BS10,2,1712.300049,14.5,1625.400024,1
121,1,121,48,1,2,1,B4,BS04,2,1717.099976,13.5,1634,1
121,2,120,48,2,1,6,BAX03,BGX03,1,1874.199951,14.10000038,1735.5,3
121,2,121,48,2,1,6,BAX02,BGX02,1,1970.300049,12,1816.800049,2
122,1,116,48,1,2,1,B10,BS10,2,1712.300049,14.5,1625.400024,1
122,1,117,48,1,2,1,B8,BS08,2,1729.900024,13.39999962,1643,1
160,2,120,48,2,1,6,BAX03,BGX03,1,1874.199951,14.10000038,1735.5,3
161,1,121,48,1,2,1,B4,BS04,2,1717.099976,13.5,1634,1
161,1,162,48,1,2,1,B2,BS02,2,1694.699951,14.5,1606.699951,1
161,2,114,48,2,1,6,BAX01,BGX01,2,1954.300049,10.80000019,1859.199951,2
162,2,120,48,2,1,6,BAX03,BGX03,1,1874.199951,14.10000038,1735.5,3
163,1,113,48,1,2,1,B7,BS07,2,1697.900024,13.30000019,1614.800049,1
163,2,120,48,2,1,6,BAX03,BGX03,1,1874.199951,14.10000038,1735.5,3
164,1,119,48,1,2,1,B3,BS03,2,1715.5,14,1633.900024,1
164,2,120,48,2,1,6,BAX03,BGX03,1,1874.199951,14.10000038,1735.5,3
165,1,113,48,1,2,1,B7,BS07,2,1697.900024,13.30000019,1614.800049,1
165,2,120,48,2,1,6,BAX03,BGX03,1,1874.199951,14.10000038,1735.5,3
166,2,114,48,2,1,6,BAX01,BGX01,2,1954.300049,10.80000019,1859.199951,2
166,2,121,48,2,1,6,BAX02,BGX02,1,1970.300049,12,1816.800049,2
167,1,123,48,1,2,1,B9,BS09,2,1752.400024,10.89999962,1667.699951,1
167,2,114,48,2,1,6,BAX01,BGX01,2,1954.300049,10.80000019,1859.199951,2
1093,1,1093,48,1,1,1,BA*,BS**,2,,12.5,1757.199951,2
1094,1,1094,48,1,1,1,BA*,BS**,2,,14,1773.199951,1
1094,2,1094,48,2,2,1,TP1,BG55,1,,5.099999905,2035.900024,1
262,3,218,55,3,2,2,BAX04,BGX04,1,2226.600098,5.699999809,2076.100098,1
263,1,213,55,1,2,2,BAX18,BSX18,2,2130.5,7,2003.300049,1
263,3,215,55,3,2,1,B21,BG08,1,2210.5,5.300000191,2139,1
264,1,213,55,1,2,2,BAX18,BSX18,2,2130.5,7,2003.300049,1
266,1,216,55,1,2,2,BAX28,BSX28,2,2047.199951,9.300000191,1934,1
805,2,805,55,2,1,2,BAX01,BGX01,1,2274.600098,6,2141.600098,1
606,1,606,1,1,2,3,BAX03,BSX03,2,1810.099976,13.80000019,1725.599976,2
661,1,606,1,1,2,3,BAX03,BSX03,2,1810.099976,13.80000019,1725.599976,2
661,1,606,1,1,1,3,BAX02,BSX02,2,1858.099976,14,1775.699951,2
661,2,606,1,2,2,3,BAX06,BGX02,1,2390,5.199999809,2211.5,2
1001,3,1001,1,3,1,1,BA*,BG**,1,,6.400000095,2116,1
1019,2,1019,1,2,2,1,TP1,BG55,1,,7.199999809,2039.099976,1
4125,1,4125,1,1,1,1,BA*,BS**,2,,9.5,1984.699951,1
4126,2,4126,1,2,1,1,BA*,BG**,1,,7.300000191,1970.300049,1
6019,2,6019,1,2,1,1,BA*,BG**,2,,7.800000191,1967.099976,2
A340,1,4125,1,1,2,1,BA*,BS**,2,,9.899999619,1979.900024,1
A340,2,4125,1,2,1,1,BA*,BG**,2,,8.300000191,2013.5,1
113,1,113,4,1,2,1,B317,BS17,1,1970.300049,10,1873,1
115,1,114,4,1,2,1,B309,BS09,2,2050.399902,9.100000381,1942.599976,1
116,1,114,4,1,2,1,B309,BS09,2,2050.399902,9.100000381,1942.599976,1
117,1,114,4,1,2,1,B309,BS09,2,2050.399902,9.100000381,1942.599976,1
117,1,115,4,1,2,1,B303,BS03,2,2114.399902,8.199999809,2002.199951,1
117,1,116,4,1,2,1,B310,BS10,1,2130.5,7.5,2053.899902,1
117,2,118,4,2,2,1,B312,BG12,1,2242.600098,5.300000191,2142.5,1
118,2,119,4,2,2,1,B308,BG08,1,2210.5,5.699999809,2045.900024,1
119,1,114,4,1,2,1,B309,BS09,2,2050.399902,9.100000381,1942.599976,1
119,1,115,4,1,2,1,B303,BS03,2,2114.399902,8.199999809,2002.199951,1
119,2,118,4,2,2,1,B312,BG12,1,2242.600098,5.300000191,2142.5,1
121,1,121,4,1,2,1,B314,BS14,1,2098.399902,7,2004,1
124,1,114,4,1,2,1,B309,BS09,2,2050.399902,9.100000381,1942.599976,1
162,1,121,4,1,1,3,BA263,BS263,2,2114.399902,8,2005,2
213,1,213,4,1,2,1,B311,BS11,2,2002.300049,10.89999962,1894.099976,1
214,2,215,4,2,2,1,B307,BG07,1,2242.600098,7.099999905,2116.699951,1
214,2,264,4,2,2,1,B314,BG14,1,2210.5,5.900000095,2038.5,1
215,1,223,4,1,2,1,B308,BS08,2,2082.399902,9.100000381,1957,1
215,2,221,4,2,2,1,B310,BG10,1,2226.600098,6,2065.300049,1
217,1,213,4,1,2,1,B311,BS11,2,2002.300049,10.89999962,1894.099976,1
218,1,267,4,1,2,1,B316,BS16,2,2002.300049,10.89999962,1860.5,1
220,1,222,4,1,2,1,B303,BS03,2,2002.300049,10,1892.400024,1
222,1,263,4,1,2,1,B313,BS13,2,1970.300049,10.5,1842.699951,1
222,2,215,4,2,2,1,B307,BG07,1,2242.600098,7.099999905,2116.699951,1
223,2,214,4,2,2,1,B302,BG02,1,2226.600098,8.800000191,2059.300049,1
223,2,224,4,2,2,1,B305,BG05,1,2242.600098,5.699999809,2113.800049,1
261,1,216,4,1,2,1,B306,BS06,2,2018.300049,9.5,1900.300049,1
261,2,214,4,2,2,1,B302,BG02,1,2226.600098,8.800000191,2059.300049,1
262,1,223,4,1,2,1,B308,BS08,2,2082.399902,9.100000381,1957,1
263,1,265,4,1,2,1,B315,BS15,2,1986.300049,11.30000019,1849.300049,1
263,2,214,4,2,2,1,B302,BG02,1,2226.600098,8.800000191,2059.300049,1
263,2,215,4,2,2,1,B307,BG07,1,2242.600098,7.099999905,2116.699951,1
264,1,222,4,1,2,1,B303,BS03,2,2002.300049,10,1892.400024,1
