LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
2,B960,1007,4,2,1,1,BA*,BG**,1,2162.70,7
2,C310,1017,4,2,1,1,BA*,BG**,2,2162.70,6
1,C320,1017,4,1,1,2,TP1,BS92,2,2050.60,10
2,C330,1017,4,2,1,1,BA*,BG**,2,2162.70,6
1,D320,1016,4,1,1,2,TP1,BS92,1,1938.40,12
1,D330,1016,4,1,1,2,TP1,BS92,1,1938.40,12
1,0162,0113,48,1,1,2,B7,BS07,1,1698.10,13
1,0162,0119,48,1,1,2,B3,BS03,1,1715.70,13
1,0162,0164,48,1,1,2,B6,BS06,1,1694.90,12
1,0164,0162,48,1,1,2,B2,BS02,1,1694.90,14
1,0165,0117,48,1,1,2,B8,BS08,1,1730.20,13
2,0165,0114,48,2,6,1,BAX01,BGX01,2,1952.80,11
3,0165,0164,48,3,1,2,B16,BG16,1,1994.50,10
1,0166,0160,48,1,1,2,B1,BS01,1,1832.70,11
1,0566,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0566,0560,6,1,1,1,BA8,BS02,1,2018.50,10
2,0566,0505,6,2,1,2,BA4,BG02,1,2034.50,10
2,0566,0505,6,2,1,2,BA3,BG01,1,2050.60,9
2,0566,0560,6,2,1,1,BA8,BG02,1,2098.60,8
2,0566,0561,6,2,1,2,TP3,BG92,1,2050.60,8
2,0566,0566,6,2,1,1,TP4,BG91,1,2114.60,7
1,0567,0560,6,1,1,1,BA8,BS02,1,2018.50,10
2,0567,0501,6,2,1,1,BA2,BG02,1,2034.50,9
2,0567,0502,6,2,3,1,BA020*,BG020*,4,2066.60,8
1,0568,0568,6,1,1,1,BA12,BS02,1,1954.40,11
2,0568,0505,6,2,1,2,BA3,BG01,1,2050.60,9
2,0568,0508,6,2,3,1,BA08**,BG08**,3,2082.60,8
2,0568,0560,6,2,1,1,BA7,BG01,1,2146.70,7
2,0568,0566,6,2,1,1,TP4,BG91,1,2114.60,7
1,0569,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0569,0560,6,1,1,1,BA7,BS01,1,2002.50,9
2,0569,0502,6,2,3,1,BA020*,BG020*,4,2066.60,8
2,0569,0560,6,2,1,1,BA7,BG01,1,2146.70,7
2,0569,0560,6,2,1,1,BA8,BG02,1,2098.60,8
2,0569,0568,6,2,1,1,BA11,BG01,1,2114.60,7
1,0570,0501,6,1,1,1,BA1,BS01,1,1954.40,10
1,0570,0505,6,1,1,2,BA3,BS01,1,1986.50,10
1,0570,0509,6,1,1,2,BA5,BS01,1,1954.40,11
2,0570,0501,6,2,1,1,BA2,BG02,1,2034.50,9
2,0570,0502,6,2,3,1,BA02**,BG02**,4,2066.60,8
2,0570,0508,6,2,3,1,BA080*,BG080*,3,2082.60,8
2,0570,0560,6,2,1,1,BA7,BG01,1,2146.70,7
2,0570,0568,6,2,1,1,BA12,BG02,1,2146.70,7
1,0571,0504,6,1,3,2,BA040*,BS040*,3,1986.50,10
1,0571,0507,6,1,1,2,TP2,BS93,1,1954.40,11
2,0571,0564,6,2,1,2,BA10,BG02,1,2130.70,7
1,0602,0660,6,1,3,1,BA261,BS261,8,1634.00,16
1,0605,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0605,0660,6,1,3,1,BA261,BS261,8,1634.00,16
1,0606,0606,6,1,3,2,BAX01,BSX01,6,1800.60,12
1,0607,0659,6,1,3,1,BA262,BS262,4,1794.20,12
1,0608,0663,6,1,3,1,BA264,BS264,10,1794.20,13
1,0660,3005,6,1,1,1,BA*,BS**,1,1826.30,14
1,2051,2051,6,1,1,1,BA*,BS**,1,2002.50,12
1,3013,3013,6,1,1,1,BA*,BS**,1,2082.60,10
1,3019,3019,6,1,1,2,BA*,BS**,1,1874.30,13
1,3019,3019,6,1,1,1,BA*,BS**,1,1874.30,13
1,3030,3030,6,1,1,1,BA*,BS**,1,1666.10,20
2,7456,7456,6,2,1,1,BA*,BG**,1,2274.80,5
1,7493,7493,6,1,1,2,BA*,BS**,1,2066.60,9
1,7493,7493,6,1,1,1,BA*,BS**,1,2114.60,9
1,8149,8149,6,1,1,1,BA*,BS**,1,2034.50,10
2,8150,8150,6,2,1,2,TP1,BG91,1,2226.80,9
2,8534,8534,6,2,1,1,BA*,BG**,1,2146.70,7
1,9048,9048,6,1,1,2,BA*,BS**,1,2098.60,9
1,A352,1253,6,1,1,1,BA*,BS**,1,1938.40,12
2,A410,3021,6,2,1,2,BA*,BG**,1,2114.60,8
2,A410,3021,6,2,1,1,BA*,BG**,1,2050.60,9
2,A411,3021,6,2,1,1,BA*,BG**,1,2050.60,9
2,A430,3021,6,2,1,2,BA*,BG**,1,2114.60,8
1,A805,A806,6,1,1,1,B6,BS06,1,1826.30,10
2,B421,7455,6,2,1,1,BA*,BG**,1,2274.80,5
1,B423,7455,6,1,1,1,BA1,BS01,1,1794.20,15
2,B430,7455,6,2,1,1,BA*,BG**,1,2274.80,5
1,B442,7455,6,1,1,2,BA6,BS06,1,1778.20,15
1,B442,7455,6,1,1,1,BA1,BS01,1,1794.20,15
2,0216,0223,8,2,5,1,BAX06,BGX06,1,2206.00,5
1,0503,0508,8,1,1,1,BA*,BS*1,1,1858.30,13
1,0812,0812,8,1,5,2,BA268,BS268,1,1970.50,11
1,1029,1029,8,1,1,2,TP1,BS93,1,1746.20,17
3,1029,1029,8,3,1,1,BA*,BG**,1,2242.80,6
1,3032,3032,8,1,1,2,BA*,BS**,1,2162.70,7
1,7780,7780,8,1,1,2,TP1,BS92,1,2050.60,7
2,7783,7783,8,2,1,1,BA*,BG**,1,2162.70,8
3,7783,7783,8,3,1,2,TP1,BG91,1,2178.70,6
2,9019,9019,8,2,1,2,BA*,BG**,1,2178.70,7
1,0102,0159,10,1,1,1,B6,BS06,1,1986.50,10
2,0102,0102,10,2,1,2,B9,BS09,1,1906.40,9
3,0102,0159,10,3,1,2,B17,BG03,1,2354.90,6
1,0103,0104,10,1,1,1,B7,BS07,1,1890.40,9
1,0103,0112,10,1,1,1,B4,BS04,1,2002.50,10
1,0103,0159,10,1,1,1,B6,BS06,1,1986.50,10
1,0105,0108,10,1,1,1,B5,BS05,1,1922.40,11
2,0105,0102,10,2,1,2,B9,BS09,1,1906.40,9
2,0105,0103,10,2,1,1,B10,BS10,1,1922.40,9
2,0105,0160,10,2,2,2,BAX07,BSX07,2,1928.80,9
1,0106,0159,10,1,1,1,B6,BS06,1,1986.50,10
2,0106,0159,10,2,1,1,B13,BS13,1,1890.40,9
2,0106,0160,10,2,2,2,BAX07,BSX07,2,1928.80,9
2,0108,0109,10,2,2,2,BAX06,BSX06,2,1992.90,8
3,0108,0102,10,3,1,2,B15,BG01,1,2354.90,6
3,0109,0102,10,3,1,2,B15,BG01,1,2354.90,6
1,0110,0103,10,1,1,1,B3,BS03,1,1858.30,13
2,0110,0107,10,2,1,1,B8,BS08,1,1874.30,10
2,0111,0111,10,2,2,2,BAX08,BSX08,2,1954.40,9
2,0112,0102,10,2,1,2,B9,BS09,1,1906.40,9
2,0112,0159,10,2,1,1,B13,BS13,1,1890.40,9
1,0159,0108,10,1,1,1,B5,BS05,1,1922.40,11
2,0159,0103,10,2,1,1,B10,BS10,1,1922.40,9
1,0201,0201,10,1,1,2,B12,BS06,1,2002.50,9
2,0201,0201,10,2,6,1,BA317,BS330,3,1859.90,10
2,0201,0201,10,2,2,2,B6,BG06,1,1890.40,8
3,0201,0202,10,3,6,1,BA309,BG309,1,2332.50,6
2,0202,0202,10,2,6,1,BA310,BS316,1,1901.60,9
1,0203,0212,10,1,1,2,B8,BS02,1,1970.50,11
2,0203,0210,10,2,5,1,BA306,BS309,4,2008.90,9
2,0204,0202,10,2,6,1,BA310,BS316,1,1901.60,9
2,0204,0211,10,2,7,1,BA313,BS322,1,2002.50,8
