LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,STATE_CODE_EXP,LAYER_NO,FIELD_SET,TEST_NO,TEST_NO_EXP,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,TEST_DATE,CONSTRUCTION_NO
2,0562,1030,12,Florida,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG56,,,NP,07/30/1990,1
3,0562,1030,12,Florida,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG55,,,NP,07/30/1990,1
2,0563,0503,12,Florida,2,3,1,Material sample obtained from area adjacent to approach end of test section.,BAX03,BGX01,18,19,np,02/08/2007,2
3,0563,0504,12,Florida,3,3,1,Material sample obtained from area adjacent to approach end of test section.,BAX07,BGX05,14,15,NP,02/12/2007,2
3,0563,0565,12,Florida,3,3,2,Material sample obtained from area adjacent to leave end of test section.,BA501,BG307,14,12,2,02/19/2007,2
1,0564,0563,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP3,BS57,,,NP,01/20/1997,1
1,0565,0508,12,Florida,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA303,BS303,,17,NP,02/09/2007,2
2,0565,1030,12,Florida,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG56,,,NP,07/30/1990,1
1,0566,0506,12,Florida,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BAX02,BSX02,,23,NP,02/09/2007,2
1,0566,1030,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,07/30/1990,1
3,1370,1370,12,Florida,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG55,,,NP,06/10/1991,1
1,3804,3804,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,,,NP,05/14/1991,1
1,3995,3995,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,09/17/1990,1
2,4057,4057,12,Florida,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,05/10/1991,1
1,4097,4097,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,04/01/1991,1
1,4097,4097,12,Florida,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,,,NP,04/01/1991,1
1,4099,4099,12,Florida,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,,,NP,03/20/1991,1
1,4105,4105,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,,,NP,04/30/1991,1
1,4107,4107,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,04/29/1991,1
1,4107,4107,12,Florida,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,,,NP,04/29/1991,1
2,4109,4109,12,Florida,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,04/30/1991,1
2,4109,4109,12,Florida,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,,,NP,04/30/1991,1
1,4135,4135,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,06/13/1991,1
1,4135,4135,12,Florida,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,,,NP,06/13/1991,1
1,4137,4137,12,Florida,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,,,NP,03/20/1991,1
1,4137,4137,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,03/20/1991,1
1,4138,4138,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,,,NP,04/15/1991,1
2,9054,9054,12,Florida,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG56,,,NP,07/08/1991,1
3,A330,9054,12,Florida,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG55,,,NP,07/08/1991,1
3,A350,9054,12,Florida,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG55,,,NP,07/08/1991,1
2,A351,9054,12,Florida,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,07/08/1991,1
3,A351,9054,12,Florida,3,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,07/08/1991,1
1,A352,9054,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,07/08/1991,1
2,A352,9054,12,Florida,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG56,,,NP,07/08/1991,1
3,A352,9054,12,Florida,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG55,,,NP,07/08/1991,1
3,B310,3997,12,Florida,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG55,,,NP,07/30/1990,1
1,B321,3997,12,Florida,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,,,NP,05/21/1991,1
1,B330,3997,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,05/21/1991,1
2,B330,3997,12,Florida,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,05/21/1991,1
2,B351,3997,12,Florida,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,05/21/1991,1
2,B360,3997,12,Florida,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG56,,,NP,05/21/1991,1
1,C310,4154,12,Florida,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,,,NP,07/08/1991,2
1,0502,0509,13,Georgia,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,35,28,7,05/14/1993,1
1,0504,0509,13,Georgia,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA705,BS305,31,24,7,02/17/2006,2
2,0506,0507,13,Georgia,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,07/26/1993,1
2,0506,0509,13,Georgia,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,0,0,NP,07/26/1993,1
1,0507,0509,13,Georgia,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA501,BS304,31,24,7,02/17/2006,2
2,0507,0509,13,Georgia,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,0,0,NP,07/26/1993,1
2,0507,0565,13,Georgia,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,0,0,NP,07/26/1993,1
1,0508,0509,13,Georgia,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA306,BS303,34,24,10,02/26/2007,2
1,0560,0509,13,Georgia,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA306,BS303,34,24,10,02/26/2007,2
1,0560,0509,13,Georgia,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,35,28,7,05/14/1993,1
1,0561,0509,13,Georgia,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA306,BS303,34,24,10,02/26/2007,2
2,0561,0507,13,Georgia,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,07/26/1993,1
1,0267,0220,4,Arizona,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B304,BS04,28,22,6,12/10/1993,1
1,0267,0224,4,Arizona,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B13,BS13,31,24,7,10/18/1993,1
1,0268,0266,4,Arizona,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B16,BS16,39,21,18,10/21/1993,1
1,0268,0268,4,Arizona,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B17,BS17,23,18,5,10/21/1993,1
1,0501,0504,4,Arizona,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS92,22,16,6,07/05/1991,1
2,0501,0505,4,Arizona,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG*3,,,NP,07/01/1991,1
2,0501,0507,4,Arizona,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG*1,,,NP,07/01/1991,1
2,0501,0507,4,Arizona,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG*5,,,NP,07/05/1991,1
1,0502,0504,4,Arizona,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS92,22,16,6,07/05/1991,1
1,0503,0506,4,Arizona,1,4,3,Material sample obtained within test section limits.,TP2,BG02,23,16,7,11/20/2008,7
2,0503,0502,4,Arizona,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG91,,,NP,07/01/1991,1
2,0503,0506,4,Arizona,2,4,3,Material sample obtained within test section limits.,TP2,BS02,26,18,8,11/21/2008,7
2,0503,0507,4,Arizona,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG*5,,,NP,07/05/1991,1
2,0503,0508,4,Arizona,2,3,1,Material sample obtained from area adjacent to approach end of test section.,BA262,BG262,20,22,NP,02/12/2008,5
1,0504,0509,4,Arizona,1,4,3,Material sample obtained within test section limits.,TP1,BG01,,,,11/24/2008,6
2,0504,0507,4,Arizona,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG*1,,,NP,07/01/1991,1
1,0505,0509,4,Arizona,1,4,3,Material sample obtained within test section limits.,TP1,BG01,,,,11/24/2008,6
2,0505,0505,4,Arizona,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG*3,,,NP,07/01/1991,1
2,0505,0507,4,Arizona,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG*5,,,NP,07/05/1991,1
1,0202,0210,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B10,BS10,,,NP,05/05/2000,1
2,0202,0210,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B14,BG14,,,NP,10/02/2002,1
2,0203,0202,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B11,BG11,,,NP,10/02/2002,1
2,0203,0212,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,B15,BG15,,,NP,10/02/2002,1
1,0205,0202,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B11,BS11,,,NP,05/05/2000,1
1,0205,0210,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B10,BS10,,,NP,05/05/2000,1
1,0206,0206,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B9,BS09,,,NP,05/05/2000,1
1,0210,0211,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B7,BS07,,,NP,10/02/2002,1
2,0210,0212,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,B15,BG15,,,NP,10/02/2002,1
1,0212,0202,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B11,BS11,,,NP,05/05/2000,1
2,0212,0202,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B11,BG11,,,NP,10/02/2002,1
2,0212,0211,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,B13,BG13,,,NP,10/02/2002,1
1,0501,0502,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA020*,BS020*,,,NP,06/10/2004,4
1,0501,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BS01,,,NP,04/03/2000,1
1,0501,0509,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BS01,24,18,6,04/03/2000,1
1,0501,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BS02,,,NP,01/26/1998,1
2,0501,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG01,,,NP,04/03/2000,1
2,0501,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BG01,,,NP,04/03/2000,1
2,0501,0507,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG92,,,NP,04/03/2000,1
2,0501,0568,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA11,BG01,,,NP,01/26/1998,1
1,0502,0509,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BS01,24,18,6,04/03/2000,1
1,0503,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS02,,,NP,04/03/2000,1
2,0503,0502,6,California,2,3,1,Material sample obtained from area adjacent to approach end of test section.,BA020*,BG020*,,,NP,06/10/2004,4
2,0503,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
1,0504,0504,6,California,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA040*,BS040*,,,NP,06/10/2004,3
1,0504,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BS02,,,NP,01/26/1998,1
2,0504,0504,6,California,2,3,2,Material sample obtained from area adjacent to leave end of test section.,BA040*,BG040*,,,NP,06/10/2004,3
2,0504,0507,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG92,,,NP,04/03/2000,1
1,0505,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS02,,,NP,04/03/2000,1
1,0505,0507,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BS93,23,19,4,04/03/2000,1
2,0505,0502,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG92,,,NP,04/03/2000,1
2,0505,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
1,0506,0502,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA020*,BS020*,,,NP,06/10/2004,4
1,0506,0566,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BS92,,,NP,01/26/1998,1
2,0506,0509,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BG01,,,NP,04/03/2000,1
2,0507,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
1,0508,0507,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BS93,23,19,4,04/03/2000,1
1,0508,0508,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA080*,BS080*,,,NP,06/10/2004,3
1,0509,0501,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BS01,,,NP,04/03/2000,1
2,0509,0507,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG92,,,NP,04/03/2000,1
2,0509,0560,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BG02,,,NP,01/26/1998,1
2,0509,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
2,0559,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG01,,,NP,04/03/2000,1
2,0559,0504,6,California,2,3,2,Material sample obtained from area adjacent to leave end of test section.,BA040*,BG040*,,,NP,06/10/2004,3
2,0559,0561,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP3,BG91,,,NP,01/26/1998,1
1,0560,0502,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS93,,,NP,04/03/2000,1
1,0560,0566,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BS92,,,NP,01/26/1998,1
2,0560,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG01,,,NP,04/03/2000,1
2,0560,0502,6,California,2,3,1,Material sample obtained from area adjacent to approach end of test section.,BA020*,BG020*,,,NP,06/10/2004,4
2,0560,0505,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG02,,,NP,04/03/2000,1
1,0561,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BS02,,,NP,01/26/1998,1
2,0561,0560,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA7,BG01,,,NP,01/26/1998,1
2,0561,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA9,BG01,,,NP,01/26/1998,1
2,0561,0564,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA10,BG02,,,NP,01/26/1998,1
2,0561,0568,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA11,BG01,,,NP,01/26/1998,1
1,0566,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BS01,,,NP,04/03/2000,1
1,0566,0509,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BS02,23,20,3,04/03/2000,1
1,0566,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BS02,,,NP,01/26/1998,1
2,0566,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG01,,,NP,04/03/2000,1
1,0567,0508,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA080*,BS080*,,,NP,06/10/2004,3
1,0567,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA7,BS01,,,NP,01/26/1998,1
1,0567,0566,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,TP4,BS92,,,NP,01/26/1998,1
2,0567,0561,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP3,BG91,,,NP,01/26/1998,1
2,0567,0568,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA11,BG01,,,NP,01/26/1998,1
2,0568,0507,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG92,,,NP,04/03/2000,1
2,0568,0561,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP3,BG91,,,NP,01/26/1998,1
1,0569,0504,6,California,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA040*,BS040*,,,NP,06/10/2004,3
1,0569,0505,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA3,BS01,,,NP,04/03/2000,1
1,0569,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA7,BS01,,,NP,01/26/1998,1
1,0570,0560,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA8,BS02,,,NP,01/26/1998,1
2,0570,0501,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BG02,,,NP,04/03/2000,1
2,0570,0568,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA12,BG02,,,NP,01/26/1998,1
2,0571,0566,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG91,,,NP,01/26/1998,1
1,0603,0606,6,California,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BAX01,BSX01,21,24,NP,08/11/2008,6
1,0607,0659,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA262,BS262,23,29,NP,02/17/2006,4
1,0607,3005,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0661,0661,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA263,BS263,19,23,NP,02/17/2006,7
1,0662,0662,6,California,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BAX02,BSX02,21,27,NP,08/11/2008,5
1,0662,3005,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0664,3005,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0811,0811,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B7,BS07,,,NP,05/05/2000,1
1,0812,0812,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B8,BS08,,,NP,05/05/2000,1
1,2002,2002,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS92,28,20,8,04/30/1991,1
1,2004,2004,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,27,24,3,05/03/1991,1
2,2038,2038,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG91,0,0,NP,05/08/1991,1
2,2038,2038,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,05/08/1991,1
1,2051,2051,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,39,23,16,04/22/1991,1
1,3005,3005,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
2,3030,3030,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,28,20,8,05/03/1991,1
1,7493,7493,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
1,8149,8149,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,25,18,7,05/09/1991,1
1,8151,8151,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,05/08/1991,1
1,8156,8156,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/26/1991,1
1,8202,8202,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS91,0,0,NP,04/28/1991,1
3,8534,8534,6,California,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG91,0,0,NP,05/07/1991,1
3,8534,8534,6,California,3,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,05/07/1991,1
1,9048,9048,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/07/1991,1
1,9107,9107,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/30/1991,1
2,A311,1253,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,20,16,4,04/23/1991,1
1,A321,1253,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS92,0,0,NP,04/22/1991,1
2,A330,1253,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,20,16,4,04/23/1991,1
1,A340,1253,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,28,17,11,04/22/1991,1
1,A351,1253,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,28,17,11,04/22/1991,1
1,A361,1253,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS92,0,0,NP,04/22/1991,1
1,A361,1253,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,28,17,11,04/22/1991,1
2,A362,1253,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG91,0,0,NP,04/23/1991,1
1,A411,3021,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
2,A411,3021,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,0,0,NP,05/06/1991,1
1,A420,3021,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
1,A423,3021,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
2,A423,3021,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,05/06/1991,1
1,A443,3021,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
2,A443,3021,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,05/06/1991,1
1,A805,A805,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA261,BS261,16,16,NP,06/27/2008,1
1,A805,A805,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,B5,BS05,,,NP,05/05/2000,1
1,B412,7455,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BS06,37,15,22,04/23/1991,1
2,B412,7455,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG06,22,14,8,04/23/1991,1
2,B423,7455,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,21,13,8,04/23/1991,1
2,B430,7455,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG06,22,14,8,04/23/1991,1
2,B441,7455,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG06,22,14,8,04/23/1991,1
2,B452,7455,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,21,13,8,04/23/1991,1
2,0214,0224,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B11,BG11,18,,NP,12/14/1993,1
2,0224,0214,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B10,BG10,,,NP,12/14/1993,1
1,0509,0508,8,Colorado,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS*1,37,16,21,07/17/1991,1
1,1029,1029,8,Colorado,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,24,17,7,01/24/1991,1
2,1029,1029,8,Colorado,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,01/24/1991,1
1,7783,7783,8,Colorado,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS93,29,17,12,01/22/1991,1
2,7783,7783,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG92,0,0,NP,01/28/1991,1
2,0506,0505,83,Manitoba,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG58,,,NP,01/07/1992,1
1,0507,0506,83,Manitoba,1,4,2,Material sample obtained from area adjacent to leave end of test section.,BAX13,BSX13,16,13,3,03/09/2007,4
2,0507,0508,83,Manitoba,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP4,BG62,,,NP,01/06/1992,1
3,1801,1801,83,Manitoba,3,1,1,Material sample obtained from area adjacent to approach end of test section.,TP1,BG55,22,17,5,11/22/1991,1
3,1801,1801,83,Manitoba,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG57,20,17,3,11/07/1991,1
1,6451,6451,83,Manitoba,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,0,0,NP,09/07/1990,1
3,6451,6451,83,Manitoba,3,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG55,0,0,NP,09/11/1990,1
2,A320,1801,83,Manitoba,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BG58,28,17,11,11/22/1991,1
3,A340,1801,83,Manitoba,3,1,1,Material sample obtained from area adjacent to approach end of test section.,TP1,BG55,22,17,5,11/22/1991,1
1,A351,1801,83,Manitoba,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP2,BS56,,,NP,11/07/1991,1
1,1684,1684,84,New Brunswick,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS55,0,0,NP,06/13/1991,1
2,1684,1684,84,New Brunswick,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG56,0,0,NP,06/03/1991,1
2,1808,1808,85,Newfoundland,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BX02,BGX02,0,0,NP,07/17/1991,1
2,1808,1808,85,Newfoundland,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG56,0,0,NP,07/17/1991,1
1,0901,0901,87,Ontario,1,1,2,Material sample obtained from area adjacent to leave end of test section.,A01A01,BS01A01,,,NP,07/30/1997,1
