LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,SHRP_TEST,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING
0502,1,4155,1,1,1,1,SS01,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924
0502,2,0504,1,2,4,2,SS01,BA306,2,BG314,100,100,100,100,97,96,95,93,91,70,31,20.5
0502,2,0506,1,2,4,2,SS01,BA303,2,BG306,100,100,100,100,100,97,96,93,91,67,32,19.79999924
0502,2,0506,1,2,1,1,UG01,BA3,1,BG06,100,100,100,100,100,98,97,87,82,60,34,24.39999962
0502,2,4155,1,2,1,1,UG01,BA*,1,BG**,100,100,100,91,80,63,54,40,39,29,13,7
0502,3,0503,1,3,4,1,SS01,BA308,2,BG319,100,100,100,91,79,67,58,46,43,34,14,8.100000381
0503,1,0506,1,1,1,1,SS01,BA3,1,BS03,100,100,100,100,100,100,99.80000305,99.09999847,97.90000153,67.59999847,33.29999924,20.79999924
0503,1,0508,1,1,1,2,SS01,BA6,1,BS06,100,100,100,100,100,98.40000153,97.80000305,96.40000153,94.40000153,70.69999695,33.90000153,23.20000076
0503,1,0508,1,1,1,2,SS01,BA5,1,BS05,100,100,100,100,100,96.90000153,95.90000153,94.30000305,92.30000305,70.5,33,22.39999962
0503,2,0504,1,2,4,2,SS01,BA306,2,BG314,100,100,100,100,97,96,95,93,91,70,31,20.5
0503,2,0506,1,2,4,2,SS01,BA501,2,BG308,100,100,100,99,98,94,93,90,87,64,32,20.29999924
0503,2,4155,1,2,1,2,UG01,BA*,1,BG**,100,100,99,92,82,64,54,42,40,30,13,7.099999905
0504,1,0504,1,1,4,2,SS01,BA304,2,BS304,100,100,100,100,100,99,97,93,90,63,34,22.20000076
0504,1,4155,1,1,1,1,SS01,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924
0505,1,0506,1,1,4,2,SS01,BA301,2,BS301,100,100,100,100,100,99,98,95,93,66,38,23.70000076
0505,1,0508,1,1,1,2,SS01,BA5,1,BS05,100,100,100,100,100,96.90000153,95.90000153,94.30000305,92.30000305,70.5,33,22.39999962
0505,2,0506,1,2,4,2,SS01,BA302,2,BG304,100,100,100,99,96,93,91,87,85,62,31,19.20000076
0505,3,0503,1,3,4,1,SS01,BA309,2,BG321,100,100,99,86,77,62,55,44,41,32,15,8.399999619
0506,1,0506,1,1,4,2,SS01,BA303,2,BS303,100,100,100,100,99,98,97,94,92,65,36,22.60000038
0506,1,0508,1,1,1,2,SS01,BA5,1,BS05,100,100,100,100,100,96.90000153,95.90000153,94.30000305,92.30000305,70.5,33,22.39999962
0506,1,4155,1,1,1,1,SS01,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924
0506,2,0504,1,2,4,2,SS01,BA305,2,BG312,100,100,100,100,100,98,97,95,92,71,32,21.60000038
0506,2,0506,1,2,4,2,SS01,BA501,2,BG308,100,100,100,99,98,94,93,90,87,64,32,20.29999924
0506,2,0508,1,2,1,2,UG01,BA6,1,BG12,100,100,100,100,99,97,96,94,92,72,34,22.70000076
0506,2,0508,1,2,1,2,UG01,BA4,1,BG08,100,100,100,100,98,96,94,91,89,71,32,22.10000038
0506,2,4155,1,2,1,2,UG01,BA*,1,BG**,100,100,99,92,82,64,54,42,40,30,13,7.099999905
0506,3,0506,1,3,4,2,SS01,BA501,2,BG307,100,100,100,90,78,63,55,42,39,32,14,8
0507,1,4155,1,1,1,2,SS01,BA*,1,BS**,100,100,100,100,99,98,97,94,93,75,41,27.70000076
0507,2,0508,1,2,1,2,UG01,BA6,1,BG12,100,100,100,100,99,97,96,94,92,72,34,22.70000076
0508,1,0506,1,1,4,2,SS01,BA303,2,BS303,100,100,100,100,99,98,97,94,92,65,36,22.60000038
0508,2,0502,1,2,1,1,UG01,TP1,1,BG56,100,100,100,100,100,99,99,98,97,69,26,15.60000038
0508,2,0504,1,2,4,2,SS01,BA503,2,BG316,100,100,99,98,96,92,90,85,83,66,29,18.79999924
0508,2,0506,1,2,4,2,SS01,BA301,2,BG302,100,100,100,100,97,94,91,88,86,63,32,19.79999924
0508,3,0506,1,3,4,2,SS01,BA501,2,BG307,100,100,100,90,78,63,55,42,39,32,14,8
0508,3,0506,1,3,4,2,SS01,BA301,2,BG301,100,100,100,91,84,67,59,45,41,33,14,7.699999809
0508,3,0506,1,3,1,1,UG01,BA3,1,BG05,100,100,100,93,83,66,56,44,40,31,13,7.300000191
0508,3,0508,1,3,1,2,UG01,BA5,1,BG09,100,100,100,97,88,75,69,57,53,39,17,10.19999981
0509,1,0506,1,1,1,1,SS01,BA1,1,BS01,100,100,100,100,100,98.69999695,98,97.30000305,96.19999695,65.19999695,30.60000038,18.89999962
0509,2,0506,1,2,1,1,UG01,BA1,1,BG02,100,100,100,99,97,95,94,92,89,62,31,21.39999962
0509,2,0508,1,2,1,2,UG01,BA5,1,BG10,100,100,100,99,98,96,95,94,91,73,33,22.29999924
0509,2,4155,1,2,1,2,UG01,BA*,1,BG**,100,100,99,92,82,64,54,42,40,30,13,7.099999905
0563,1,4155,1,1,1,1,SS01,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924
0563,2,0504,1,2,4,2,SS01,BA305,2,BG312,100,100,100,100,100,98,97,95,92,71,32,21.60000038
0563,2,0506,1,2,4,2,SS01,BA303,2,BG306,100,100,100,100,100,97,96,93,91,67,32,19.79999924
0563,2,0506,1,2,1,1,UG01,BA3,1,BG06,100,100,100,100,100,98,97,87,82,60,34,24.39999962
0563,2,4155,1,2,1,2,UG01,BA*,1,BG**,100,100,99,92,82,64,54,42,40,30,13,7.099999905
0564,1,0506,1,1,4,2,SS01,BA303,2,BS303,100,100,100,100,99,98,97,94,92,65,36,22.60000038
0564,1,4155,1,1,1,2,SS01,BA*,1,BS**,100,100,100,100,99,98,97,94,93,75,41,27.70000076
0564,2,0504,1,2,4,2,SS01,BA503,2,BG316,100,100,99,98,96,92,90,85,83,66,29,18.79999924
0564,2,0504,1,2,4,2,SS01,BA305,2,BG312,100,100,100,100,100,98,97,95,92,71,32,21.60000038
0564,2,0508,1,2,1,2,UG01,BA5,1,BG10,100,100,100,99,98,96,95,94,91,73,33,22.29999924
0564,3,0506,1,3,4,2,SS01,BA301,2,BG301,100,100,100,91,84,67,59,45,41,33,14,7.699999809
0603,1,0606,1,1,1,3,SS01,TP2,2,BS58,100,100,98,91,85,77,72,63,56,49,46,42
0603,2,0606,1,2,3,2,SS01,BA506,2,BG309,100,100,100,100,97,81,71,48,29,16,14,12.19999981
0604,2,0606,1,2,1,3,UG01,TP2,2,BG58,100,100,100,100,98,88,81,61,43,20,16,13.80000019
0606,1,0606,1,1,3,1,SS01,BAX02,2,BSX02,100,100,97,96,94,92,90,86,83,75,71,65
0661,2,0606,1,2,1,3,UG01,TP2,2,BG58,100,100,100,100,98,88,81,61,43,20,16,13.80000019
0662,1,0606,1,1,1,3,SS01,TP2,2,BS58,100,100,98,91,85,77,72,63,56,49,46,42
1011,2,1011,1,2,1,1,UG01,BA*,1,BG**,100,100,99,94,87,69,59,42,32,23,19,15.89999962
1019,2,1019,1,2,1,1,UG01,BA*,1,BG**,100,100,99,84,72,65,58,51,46,30,15,10.10000038
4007,2,4007,1,2,1,2,UG01,BA*,1,BG**,100,100,100,97,93,81,71,57,40,31,28,25
4007,3,4007,1,3,1,2,UG01,BA*,1,BG**,100,100,100,100,96,76,60,32,21,12,10,8.300000191
4084,2,4084,1,2,1,1,UG01,BA*,1,BG**,100,100,100,100,98,93,86,64,43,20,13,8.399999619
4126,2,4126,1,2,1,1,UG01,BA*,1,BG**,100,100,100,98,93,77,68,57,51,45,27,14.39999962
4127,1,4127,1,1,1,2,SS01,BA*,2,BS**,100,100,98,96,93,89,85,79,71,61,54,46.29999924
4127,1,4127,1,1,1,1,SS01,BA*,2,BS**,100,99,98,97,96,92,89,82,73,64,56,48.70000076
4129,1,4129,1,1,1,2,SS01,TP1,2,BS55,100,93,91,88,85,82,80,74,67,53,44,32.40000153
4129,3,4129,1,3,1,1,UG01,BA*,2,BG**,100,100,100,97,93,91,84,60,35,18,13,8.800000191
4155,1,4155,1,1,1,2,SS01,BA*,1,BS**,100,100,100,100,99,98,97,94,93,75,41,27.70000076
A340,1,4125,1,1,1,1,SS01,BA*,1,BS**,100,100,100,100,98,94,89,84,78,56,35,28.29999924
A350,2,4125,1,2,1,1,UG01,BA*,1,BG**,100,100,100,100,97,90,86,81,74,49,21,15.69999981
B320,2,1019,1,2,1,2,UG01,TP1,1,BG55,100,100,98,88,80,75,72,66,63,49,27,18.5
B320,2,1019,1,2,1,1,UG01,BA*,1,BG**,100,100,99,84,72,65,58,51,46,30,15,10.10000038
B340,2,1019,1,2,1,1,UG01,BA*,1,BG**,100,100,99,84,72,65,58,51,46,30,15,10.10000038
C320,2,4155,1,2,1,1,UG01,BA*,1,BG**,100,100,100,91,80,63,54,40,39,29,13,7
C340,1,4155,1,1,1,1,SS01,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924
C350,2,4155,1,2,1,2,UG01,BA*,1,BG**,100,100,99,92,82,64,54,42,40,30,13,7.099999905
1001,2,1001,2,2,1,1,UG01,TP2,1,BG81,100,100,100,100,99,85,72,51,35,16,11,10
1002,1,1002,2,1,1,2,SS01,TP2,1,BS81,100,94,88,75,69,60,56,44,33,15,10,7.900000095
1008,2,1008,2,2,1,1,UG01,BA*,1,BG**,100,100,100,98,93,78,69,48,37,24,17,10
9035,1,9035,2,1,1,2,SS01,TP1,1,BS91,100,92,86,82,75,67,62,51,40,19,11,7.800000191
0114,1,0114,4,1,1,2,SS01,B309,1,BS09,100,96,94,85,82,77,74,64,51,31,24,18.29999924
0114,1,0115,4,1,1,2,SS01,B303,1,BS03,100,100,100,99,99,96,94,88,78,47,34,24.70000076
0117,1,0115,4,1,1,2,SS01,B303,1,BS03,100,100,100,99,99,96,94,88,78,47,34,24.70000076
0117,1,0119,4,1,1,2,SS01,B307,1,BS07,100,100,100,100,95,87,82,71,58,33,22,13.19999981
0117,2,0119,4,2,1,2,UG01,B308,1,BG08,100,100,100,99,94,82,77,67,57,34,21,12.19999981
0117,2,0161,4,2,1,2,UG01,B319,1,BG19,100,100,100,100,88,66,57,42,31,16,11,6.699999809
0118,2,0120,4,2,1,2,UG01,B316,1,BG16,100,100,100,100,89,75,65,49,34,17,12,7.099999905
0122,1,0114,4,1,1,2,SS01,B309,1,BS09,100,96,94,85,82,77,74,64,51,31,24,18.29999924
0122,1,0115,4,1,1,2,SS01,B303,1,BS03,100,100,100,99,99,96,94,88,78,47,34,24.70000076
0122,1,0124,4,1,1,2,SS01,B305,1,BS05,100,98,96,94,93,89,86,76,59,33,23,14.60000038
0123,1,0120,4,1,1,2,SS01,B315,1,BS15,100,100,98,96,93,87,84,74,59,33,22,12.39999962
0160,1,0160,4,1,1,2,SS01,B301,1,BS01,100,100,96,92,87,80,72,62,52,32,21,13.5
0160,1,0161,4,1,1,2,SS01,B318,1,BS18,100,95,85,81,78,72,68,58,48,28,19,12.69999981
0161,1,0121,4,1,1,2,SS01,B314,1,BS14,100,100,93,87,83,76,73,65,53,33,23,15.60000038
0161,1,0162,4,1,1,2,SS01,B320,1,BS20,100,100,100,99,97,88,82,66,53,27,15,9.399999619
0162,1,0121,4,1,3,1,SS01,BA263,2,BS263,100,100,100,100,97,87,82,70,58,36,25,15.80000019
0163,1,0161,4,1,3,1,SS01,BA266,3,BS266,100,99,97,94,92,87,85,76,61,34,24,17.89999962
0163,1,0163,4,1,1,2,SS01,B321,1,BS21,100,93,85,77,69,63,59,48,38,21,15,9.800000191
0213,1,0217,4,1,1,2,SS01,B309,1,BS09,100,100,100,100,99,96,94,89,84,56,36,22.5
0213,2,0262,4,2,1,2,UG01,B312,1,BG12,100,100,100,100,93,71,61,51,45,24,12,8
0213,2,0265,4,2,1,2,SS01,B315,1,BS15,100,100,99,97,96,95,93,88,77,51,37,25.70000076
0215,2,0262,4,2,1,2,UG01,B312,1,BG12,100,100,100,100,93,71,61,51,45,24,12,8
0215,2,0264,4,2,1,2,UG01,B314,1,BG14,100,100,100,100,88,57,47,36,31,15,8,5.099999905
0215,2,0265,4,2,1,2,SS01,B315,1,BS15,100,100,99,97,96,95,93,88,77,51,37,25.70000076
0216,1,0213,4,1,1,2,SS01,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924
0216,1,0219,4,1,1,2,SS01,B14,1,BS14,100,100,100,100,100,99,98,94,89,68,53,33.29999924
0217,1,0213,4,1,1,2,SS01,B311,1,BS61,100,100,100,98,97,94,92,85,76,50,35,24.79999924
0218,1,0224,4,1,1,2,SS01,B13,1,BS13,100,100,100,100,98,96,94,89,83,61,52,40.90000153
0218,1,0267,4,1,1,2,SS01,B316,1,BS16,100,100,100,99,98,97,95,90,85,58,44,30.89999962
0219,1,0217,4,1,1,2,SS01,B309,1,BS09,100,100,100,100,99,96,94,89,84,56,36,22.5
0219,1,0219,4,1,1,2,SS01,B14,1,BS14,100,100,100,100,100,99,98,94,89,68,53,33.29999924
0220,1,0264,4,1,1,2,SS01,B15,1,BS15,100,100,100,100,100,97,90,81,72,54,44,25.79999924
0221,1,0216,4,1,1,2,SS01,B306,1,BS06,100,100,100,100,99,97,93,83,75,49,35,25.60000038
