LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,CONSTRUCTION_NO
3,Q330,3865,48,3,1,1,BA*,BG**,19,15,4,1
1,Q340,3865,48,1,1,1,BA*,BS**,22,15,7,1
3,Q340,3865,48,3,1,1,BA*,BG**,19,15,4,1
2,Q353,3865,48,2,1,1,BA*,BG**,18,17,1,1
3,0804,0803,49,3,1,1,B7,BG07,,,NP,1
3,0804,0804,49,3,1,1,B8,BG08,,,NP,1
1,1006,1006,49,1,1,2,TP1,BS92,21,16,5,1
2,1017,1017,49,2,1,2,TP1,BG92,32,25,7,2
1,3010,3010,49,1,1,2,BA*,BS**,33,16,17,1
1,3011,3011,49,1,1,1,BA*,BS**,21,14,7,1
2,7082,7082,49,2,1,2,BA4,BG06,0,0,NP,1
3,7082,7082,49,3,1,1,BA1,BG01,0,0,NP,1
2,7083,7083,49,2,1,1,BA*,BG**,22,18,4,1
2,A310,1004,49,2,1,2,TP1,BG91,0,0,NP,1
2,A330,1004,49,2,1,2,TP1,BG91,0,0,NP,1
2,A330,1004,49,2,1,1,BA*,BG**,0,0,NP,1
2,A351,1004,49,2,1,2,TP1,BG91,0,0,NP,1
1,A361,1004,49,1,1,2,TP1,BS92,0,0,NP,1
1,B350,1017,49,1,1,2,TP1,BS93,25,19,6,2
3,B352,1017,49,3,1,2,TP1,BG91,22,17,5,2
3,B390,1017,49,3,1,1,BA*,BG**,22,17,5,2
1,C310,1006,49,1,1,2,TP1,BS92,21,16,5,1
2,C320,1006,49,2,1,1,BA*,BG**,20,12,8,1
2,C330,1006,49,2,1,2,TP1,BG91,17,12,5,1
1,C361,1006,49,1,1,2,TP1,BS92,21,16,5,1
3,C410,7082,49,3,1,2,BA4,BG05,0,0,NP,1
2,C440,7082,49,2,1,2,BA4,BG06,0,0,NP,1
1,C443,7082,49,1,1,2,BA4,BS03,24,19,5,1
3,C443,7082,49,3,1,2,BA4,BG05,0,0,NP,1
3,C445,7082,49,3,1,2,BA4,BG05,0,0,NP,1
3,C445,7082,49,3,1,1,BA1,BG01,0,0,NP,1
