LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
0561,2,0505,24,2,3,2,BAX02,BTX02,3,1563.6,22
0561,3,0505,24,3,3,2,BAX07,BGX07,3,2282.9,6
0561,3,0509,24,3,1,2,BX01,BGX01,1,2274.8,5
0562,2,0505,24,2,3,2,BAX02,BTX02,3,1563.6,22
0563,3,0502,24,3,1,2,BX01,BGX01,1,2258.8,6
0563,3,0507,24,3,3,1,BAX08,BGX08,2,2242.8,6
0903,2,2805,24,2,1,2,TP1,BG55,1,2258.8,6
0113,2,0113,26,2,1,1,B11,BG03,1,2290.9,6
0113,2,0117,26,2,2,2,BAX01,BGX01,3,2290.9,6
0113,2,0118,26,2,1,2,B10,BG02,1,2274.8,6
0116,1,0115,26,1,1,2,B7,BS07,1,2018.5,10
0117,2,0117,26,2,2,2,BAX01,BGX01,3,2290.9,6
0118,1,0119,26,1,1,2,B06,BS06,1,1970.5,11
0120,2,0121,26,2,1,1,B9,BG01,1,2274.8,6
0121,1,0119,26,1,1,2,B06,BS06,1,1970.5,11
0123,1,0114,26,1,1,1,B05,BS05,1,2050.6,10
0123,1,0115,26,1,1,2,B7,BS07,1,2018.5,10
0123,1,0122,26,1,1,1,B4,BS04,1,1986.5,10
0124,1,0118,26,1,1,1,B2,BS02,1,1922.4,13
E454,1,7085,49,1,1,1,TP1,BS91,1,1826.3,15
E456,1,7085,49,1,1,1,TP1,BS91,1,1826.3,15
1002,2,1002,50,2,1,2,TP1,BG55,1,2290.9,7
1681,2,1681,50,2,1,1,BX02,BGX02,1,2162.7,6
1683,2,1683,50,2,1,2,TP1,BG56,1,1938.4,10
1683,3,1683,50,3,1,1,BX01,BGX01,1,2178.7,5
