LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
1,0505,0502,1,1,1,1,TP1,BS55,1,214
1,0505,0506,1,1,1,1,BA3,BS03,1,214
1,0505,4155,1,1,1,1,BA*,BS**,1,216
2,0505,0506,1,2,4,2,BA302,BG304,2,306
1,0506,0506,1,1,1,1,BA3,BS03,1,214
1,0506,0506,1,1,1,1,BA2,BS02,1,214
3,0506,0506,1,3,1,1,BA2,BG03,1,304
1,0507,0508,1,1,1,2,BA6,BS06,1,214
2,0507,0504,1,2,4,2,BA306,BG314,2,306
2,0507,0508,1,2,1,2,BA5,BG10,1,310
3,0507,0506,1,3,1,1,BA2,BG03,1,304
1,0508,0506,1,1,1,1,BA1,BS01,1,214
1,0508,0506,1,1,4,2,BA301,BS301,2,216
3,0508,0508,1,3,1,2,BA6,BG11,1,304
1,0509,0502,1,1,1,1,TP1,BS55,1,214
1,0509,0506,1,1,4,2,BA301,BS301,2,216
2,0509,0504,1,2,4,2,BA305,BG312,2,306
2,0509,0506,1,2,4,2,BA301,BG302,2,306
2,0509,0508,1,2,1,2,BA6,BG12,1,310
1,0563,0508,1,1,1,2,BA6,BS06,1,214
1,0563,4155,1,1,1,1,BA*,BS**,1,216
2,0563,4155,1,2,1,2,BA*,BG**,1,303
3,0563,0506,1,3,1,1,BA2,BG03,1,304
2,0564,0502,1,2,1,1,TP1,BG56,1,310
2,0564,0506,1,2,4,2,BA302,BG304,2,306
2,0564,0506,1,2,4,2,BA303,BG306,2,306
2,0601,0606,1,2,3,2,BAX06,BGX02,2,308
1,0602,0605,1,1,1,3,TP1,BS57,2,114
1,0603,0606,1,1,3,2,BAX03,BSX03,2,117
2,0604,0606,1,2,3,2,BAX06,BGX02,2,308
1,0607,0608,1,1,3,1,BAX01,BSX01,2,114
2,0607,0607,1,2,1,2,BA2,BG02,2,303
2,0661,0606,1,2,1,3,TP2,BG58,2,303
2,0661,0607,1,2,1,2,BA2,BG02,2,303
1,0662,0606,1,1,3,2,BAX03,BSX03,2,117
1,0662,0606,1,1,1,3,TP2,BS58,2,266
2,0662,0606,1,2,3,2,BAX06,BGX02,2,308
2,0662,0607,1,2,1,2,BA2,BG02,2,303
1,0663,0605,1,1,1,3,TP1,BS57,2,114
2,0663,0605,1,2,1,3,TP1,BG57,2,303
2,0663,0607,1,2,1,2,BA2,BG02,2,303
1,1021,1021,1,1,1,2,TP1,BS55,1,108
2,3028,3028,1,2,1,1,BA*,BG**,1,308
3,3028,3028,1,3,1,2,BA*,BG**,1,303
3,3998,3998,1,3,1,2,BA*,BG**,2,309
1,4007,4007,1,1,1,1,BA*,BS**,1,217
1,6012,6012,1,1,1,2,TP1,BS55,1,214
1,6019,6019,1,1,1,2,BA4,BS04,2,202
1,A310,4125,1,1,1,2,BA*,BS**,1,216
1,B310,1019,1,1,1,2,TP1,BS55,1,202
2,B310,1019,1,2,1,2,TP1,BG55,1,215
1,B320,1019,1,1,1,1,BA*,BS**,1,145
2,B320,1019,1,2,1,1,BA*,BG**,1,261
2,B330,1019,1,2,1,2,TP1,BG55,1,215
2,B340,1019,1,2,1,2,TP1,BG55,1,215
1,C330,4155,1,1,1,1,BA*,BS**,1,216
1,C340,4155,1,1,1,2,BA*,BS**,1,216
1,C340,4155,1,1,1,1,BA*,BS**,1,216
2,6010,6010,2,2,1,1,TP2,BG82,1,261
2,9035,9035,2,2,1,1,TP2,BG82,1,308
1,0113,0120,4,1,1,2,B315,BS15,1,211
1,0114,0119,4,1,1,2,B307,BS07,1,215
1,0114,0122,4,1,1,2,B313,BS13,1,215
1,0114,0124,4,1,1,2,B305,BS05,1,215
1,0116,0114,4,1,1,2,B309,BS09,1,215
1,0117,0119,4,1,1,2,B307,BS07,1,215
2,0117,0118,4,2,1,2,B312,BG12,1,302
1,0118,0118,4,1,3,1,BA663,BS663,3,217
1,0121,0160,4,1,1,2,B301,BS01,1,261
2,0121,0160,4,2,1,2,B302,BG02,1,304
1,0122,0115,4,1,1,2,B303,BS03,1,215
1,0122,0119,4,1,1,2,B307,BS07,1,215
1,0124,0116,4,1,1,2,B310,BS10,1,215
1,0161,0160,4,1,1,2,B301,BS01,1,261
1,0161,0163,4,1,1,2,B321,BS21,1,261
2,0161,0161,4,2,1,2,B319,BG19,1,302
1,0162,0163,4,1,1,2,B321,BS21,1,261
2,0213,0224,4,2,1,2,B305,BG05,1,304
2,0214,0264,4,2,1,2,B314,BG14,1,304
1,0215,0223,4,1,1,2,B308,BS08,1,215
